sector,latitude,longitude,price_per_sqft,super_built_up_area
sector 7,28.3760277,76.9122152,4618.94,1169.1
sector 3,28.3627664,76.9193261,5985.16,950.0
sohna road,28.4443368,77.0338851,5150.88,922.29
sector 61,28.4110188,77.0963685,11386.69,1623.52
sector 92,28.4089049,76.9155232,4825.13,1838.73
sector 36,28.419334,76.9889256,7738.67,987.12
dwarka expressway,28.4642142,76.9688895,9027.78,1689.0
sector 104,28.4795324,76.9937197,8078.6,2290.0
sector 88,28.4219647,76.9568078,7309.58,1617.0
sector 78,28.3725283,76.9702955,5004.04,1876.33
sector 81,28.3873647,76.9475835,8881.96,2100.0
sector 79,28.4222654,76.9209293,8053.69,1620.0
sector 33,28.4384785,77.0251655,9182.94,1558.8
sector 90,28.4069974,76.9365562,6447.0,1904.83
sector 108,28.5128994,76.9823615,7738.39,1838.0
sector 62,28.407697,77.0823781,16037.48,3820.41
sector 102,28.4754872,76.9711747,9489.05,1692.0
sector 89,28.4184455,76.9457567,7049.15,1437.99
sector 113,28.5286649,77.0250282,11050.97,2217.0
sector 65,28.4042354,77.0692577,14272.73,1975.0
sector 48,28.4104903,77.0394627,9869.52,2430.0
sector 37,28.4342681,76.999294,6424.0,1772.41
sector 2,28.5090499,77.0342831,7137.81,1415.0
sector 43,28.4548735,77.0858864,14228.53,2586.5
sector 68,28.388897,77.0459859,8605.64,1382.71
sector 109,28.5109205,77.0065956,8000.0,2122.5
sector 106,28.5060806,76.9967796,6534.09,1760.0
sector 82,28.3931076,76.9588762,6538.46,1818.0
sector 85,28.403652,76.9531428,7121.91,1873.5
sector 28,28.4741302,77.0825722,12661.79,1777.0
sector 10,28.392411,76.8864253,5055.66,1883.55
manesar,28.3247096,76.9263787,3595.42,2527.5
sector 21,28.5143629,77.0730087,4618.94,1467.87
sector 84,28.4082289,76.9630245,6003.43,1725.0
sector 71,28.4064564,77.0233125,6856.24,1485.0
sector 77,28.3832337,76.982557,6988.31,1883.55
sector 67,28.3864052,77.0598046,11989.66,2048.0
sector 57,28.4232478,77.0804487,10888.89,2852.46
sector 95,28.4149443,76.9114892,4487.32,854.09
sector 99,28.4645549,76.9628585,5806.47,1550.0
sector 103,28.493087,76.9866453,7436.82,1776.0
sector 49,28.4128851,77.0498362,10984.2,2070.0
sector 30,28.4616245,77.0566819,9899.39,1458.49
sector 86,28.3981205,76.9411257,6683.94,1895.0
sector 66,28.3974292,77.0538823,14285.71,2100.0
sector 15,28.3843199,76.9122326,6776.61,1688.7
sector 4,28.4750063,77.0103535,4005.09,1069.87
sector 22,28.506318,77.0655182,14420.29,2099.1
sector 63,28.3964476,77.086498,13471.9,2034.0
sector 52,28.4368166,77.0795276,7566.79,2300.8
sector 107,28.506941,76.9752137,5980.07,1050.0
sector 12,28.464066,77.0259664,4791.88,1324.98
sector 9,28.3840986,76.8861337,5132.15,2338.2
sector 29,28.4669197,77.0671306,11088.78,2286.24
sector 91,28.4007588,76.9210802,6837.61,2364.0
sector 1,28.5187813,77.0418623,3953.49,2300.0
sector 70,28.3947261,77.0223138,8333.33,1950.0
gwal pahari,28.4345071,77.1446526,9516.8,2039.2
sector 47,28.4251572,77.0475128,8236.1,2086.0
golf course road,28.4578463,77.0969021,10659.09,1407.25
sector 54,28.441611,77.1118718,21360.76,2300.0
sector 111,28.5222773,77.0336203,11727.27,2215.0
sector 41,28.4569188,77.0646046,13461.0,2494.27
sector 73,28.4088081,77.0161691,5363.59,1780.78
sector 56,28.4253232,77.0985157,7631.58,2000.0
sector 83,28.3981087,76.9732873,6574.39,1755.0
sector 53,28.4415191,77.096805,19085.55,2952.5
sector 72,28.4159257,77.0290772,13425.13,2905.0
sector 69,28.3960701,77.0372311,8883.25,1608.0
sector 110,28.5069625,77.018321,10000.0,3400.0
sector 44,28.4507064,77.0738281,6554.49,2273.25
sector 11,28.3781429,76.8753775,4715.97,842.91
sector 14,28.3833517,76.9015654,5773.67,2987.7
sector 50,28.4166536,77.0611745,10685.48,2480.0
sector 25,28.4860888,77.084224,11510.63,3228.02
sector 59,28.4030162,77.1066682,14738.72,3003.1
sector 24,28.4944811,77.1013038,13428.59,3736.13
sector 38,28.4351423,77.0403538,9190.61,2284.94
ambience island,28.5007796,77.102441,9867.73,4481.55
sector 112,28.5203402,77.0188612,11540.45,2802.0
sector 45,28.4449004,77.0663545,9185.19,2839.31
sector 74,28.4112763,77.010669,10879.51,1424.0
sector 60,28.3985617,77.0978276,13392.86,2394.0
sector 51,28.4287011,77.0666877,5957.59,1625.05
sector 39,28.4423675,77.0504724,6735.95,3052.65
sector 58,28.4160012,77.1085564,16000.0,2164.0
sector 80,28.3702173,76.9611159,6189.21,2262.0
sector 55,28.4274166,77.1097538,7954.85,2094.1
sector 128,28.4222654,76.9209293,16666.67,2100.0
sector 93,28.4156048,76.931638,5389.24,772.79
sector 23,28.510319,77.0530094,5000.0,1100.0
sector 76,28.3910112,76.9900243,8076.55,1718.5
sector 31,28.4540044,77.0497179,8909.99,1650.0
new gurgaon,28.4068493,76.9311927,5184.68,1488.0
sector 32,28.4458035,77.0413169,11364.62,2225.4
ats marigold,28.4601,77.02635,9142.86,1750.0
shanti nagar,28.4601,77.02635,3942.83,1645.64
sector 5,28.4803924,77.0190946,4490.63,757.32
faridabad road,28.4071046,77.2005346,5587.42,1073.84
sector 6,28.4753259,77.0258279,4105.72,1104.15
samaspur,28.4315737,77.0619368,4032.41,1363.95
golf course ext road,28.4601,77.02635,8513.16,2185.47
sector 35,28.4145669,77.0018689,3600.0,750.0
sector 105,28.4943133,77.0081378,3978.77,1139.6
bptp,28.4601,77.02635,8653.85,2600.0
